index,imf_0,imf_1,imf_2,imf_3,imf_4,imf_5,residue
213,-0.27495161,0.52142662,0.67406729,1.05976823,-3.15071968,-2.33250666,103.53634933
214,0.67777542,0.34486545,0.57001408,0.98696658,-3.07465025,-2.33665720,103.53798275
215,0.05863265,0.06898038,0.42490929,0.90154777,-2.99673079,-2.34063218,103.53971353
216,-0.50681709,-0.15718795,0.25690320,0.80464148,-2.91700088,-2.34481037,103.54191860
217,-0.22503375,-0.22488764,0.08609462,0.69746604,-2.83550177,-2.34891326,103.54431756
218,0.54435636,-0.19438707,-0.06723514,0.58126342,-2.75227729,-2.35284310,103.54681083
219,-0.07273289,-0.22775827,-0.18560740,0.45733468,-2.66737396,-2.35688481,103.54968144
220,0.31276706,-0.37343328,-0.25814136,0.32707926,-2.58083897,-2.36133479,103.55322396
221,-0.44595847,-0.50369153,-0.28228254,0.19199934,-2.49272015,-2.36581170,103.55705520
222,-0.15499959,-0.42878420,-0.26355087,0.05374106,-2.40306646,-2.37041501,103.56127273
223,0.34875002,-0.14993828,-0.21476792,-0.08591837,-2.31192964,-2.37485523,103.56558524
224,-0.07495867,0.17567252,-0.15314448,-0.22517226,-2.21936233,-2.37903978,103.56989827
225,-0.16614231,0.42445472,-0.09826863,-0.36223285,-2.12541677,-2.38325946,103.57450076
226,0.38465276,0.51060376,-0.06877498,-0.49535033,-2.03014492,-2.38751592,103.57939252
227,-0.04107415,0.41624881,-0.07854796,-0.62288060,-1.93359867,-2.39171586,103.58447838
228,0.00247891,0.25900616,-0.13511743,-0.74333628,-1.83583050,-2.39585846,103.58975565
229,-0.49592183,0.18119228,-0.23988783,-0.85542572,-1.73689174,-2.39985110,103.59512988
230,0.56891519,0.20267229,-0.38732525,-0.95806350,-1.63683005,-2.40369561,103.60060102
231,-0.19128457,0.19270443,-0.56256096,-1.05026058,-1.53569086,-2.40758355,103.60635876
232,0.20428039,0.05446232,-0.74589412,-1.13109886,-1.43351976,-2.41142525,103.61231160
233,0.17194551,-0.19678589,-0.91547813,-1.19970770,-1.33036516,-2.41512389,103.61836084
234,-0.48185433,-0.43295943,-1.05027041,-1.25531396,-1.22627585,-2.41877733,103.62460250
235,0.20537066,-0.52899916,-1.13338611,-1.29735902,-1.12130034,-2.42248723,103.63113637
236,-0.24259424,-0.47713729,-1.15475381,-1.32559593,-1.01548759,-2.42615592,103.63786292
237,0.47889906,-0.36668079,-1.11509329,-1.34015431,-0.90888911,-2.42978739,103.64478427
238,-0.22760845,-0.27540562,-1.02394434,-1.34144886,-0.80155708,-2.43338483,103.65190178
239,0.11351568,-0.15275279,-0.89752913,-1.33001437,-0.69354368,-2.43685028,103.65911561
